"编码TRAIT_CODE" "性状名称TRAIT_NAME" "名称缩写ABBR_NAME" "性状类型TRAIT_TYPE" "单位UNIT" "最小值MIN_VALUE" "最大值MAX_VALUE" "精度SCALE" "排序ORDER" "列表值LIST,VALUES" "CATEGORY" "性状分组TRAIT_GROUP" "计算公式FORMULA"
"T059" "播种期_C" "bozhongqi" 2 NA NA NA NA 1 NA "ChinaSeed" "field" NA
"T060" "出苗期_C" "chumiaoqi" 2 NA NA NA NA 2 NA "ChinaSeed" "field" NA
"T061" "上胚轴色_C" "shangpeizhouse" 3 NA NA NA NA 3 "1-白,2-紫,99-分离" "ChinaSeed" "field" NA
"T062" "下胚轴色_C" "xiapeizhouse" 3 NA NA NA NA 4 "1-白,2-紫,99-分离" "ChinaSeed" "field" NA
"T063" "抗草甘膦_C" "kangcaoganlin" 3 NA NA NA NA 5 "1-高抗,3-抗,5-中抗,7-不抗,99-分离" "ChinaSeed" "field" NA
"T064" "苗期评价_C" "miaoqipingjia" 3 NA NA NA NA 6 "2-优,1-良,0-中,-1-差" "ChinaSeed" "field" NA
"T065" "开花期_C" "kaihuaqi" 2 NA NA NA NA 7 NA "ChinaSeed" "field" NA
"T066" "花色_C" "huase" 3 NA NA NA NA 8 "1-白,2-紫,99-分离" "ChinaSeed" "field" NA
"T067" "叶形_C" "yexing" 3 NA NA NA NA 9 "1-披针,2-卵圆,3-椭圆,99-分离" "ChinaSeed" "field" NA
"T068" "叶色_C" " yese" 3 NA NA NA NA 10 "1-淡绿,2-绿,3-深绿,99-分离" "ChinaSeed" "field" NA
"T069" "花期评价_C" "huaqipingjia" 3 NA NA NA NA 11 "2-优,1-良,0-中,-1-差" "ChinaSeed" "field" NA
"T070" "抗花叶病毒_C" "kanghuayebingdu" 3 NA NA NA NA 12 "0-免疫,1-高抗,3-抗,7-感,9-高感" "ChinaSeed" "field" NA
"T071" "抗孢囊线虫_C" "kangbaonangxianchong" 3 NA NA NA NA 13 "0-免疫,1-高抗,3-抗,7-感,9-高感" "ChinaSeed" "field" NA
"T072" "倒伏性_C" "daofuxing" 3 NA NA NA NA 14 "1-不倒,3-轻倒,5-中倒,7-重倒,9-严重倒" "ChinaSeed" "field" NA
"T073" "鼓粒期_C" "guliqi" 2 NA NA NA NA 15 NA "ChinaSeed" "field" NA
"T074" "鼓粒期评价_C" "guliqipingjia" 3 NA NA NA NA 16 "2-优,1-良,0-中,-1-差" "ChinaSeed" "field" NA
"T075" "落叶性_C" "luoyexing" 3 NA NA NA NA 17 "1-不落,2-半落,3-落,99-分离" "ChinaSeed" "field" NA
"T076" "裂荚性_C" "liejiaxing" 3 NA NA NA NA 18 "3-不裂,5-轻裂0-9,7-中9-25,9-易裂>25,99-分离" "ChinaSeed" "field" NA
"T077" "成熟期_C" "chengshuqi" 2 NA NA NA NA 19 NA "ChinaSeed" "field" NA
"T078" "成熟期评价_C" "chengshuqipingjia" 3 NA NA NA NA 20 "2-优,1-良,0-中,-1-差" "ChinaSeed" "field" NA
"T079" "收获期_C" "shouhuoqi" 2 NA NA NA NA 21 NA "ChinaSeed" "field" NA
"T080" "田间备注_C" "tianjianbeizhu" 4 NA NA NA NA 22 NA "ChinaSeed" "field" NA
"T081" "考种株数_C" "kaozhongzhushu" 1 NA 0 1000 0 23 NA "ChinaSeed" "plant" NA
"T082" "植株评价_C" "zhizhupingjia" 3 NA NA NA NA 24 "2-优,1-良,0-中,-1-差" "ChinaSeed" "plant" NA
"T083" "结荚习性_C" "jiejiaxixing" 3 NA NA NA NA 25 "3-无限,5-亚有限,7-有限,99-分离" "ChinaSeed" "plant" NA
"T084" "茸毛色_C" "rongmaose" 3 NA NA NA NA 26 "1-灰,2-棕,99-分离" "ChinaSeed" "plant" NA
