"ID" "name_C" "name_lib" "level_C" "order" "name_E" "level_E" "species" "field_type" "name_code" "name_baiaoyun" "class_standard" "level_code"
1 "小区实收面积(m2)" "XiaoQuShiShouMianJi" NA 0 NA NA "soybean" "N" "T000" "小区实收面积(m2)" 0 "T000-NA"
2 "小区产量(kg)" "XiaoQuChanLiang" NA 1 NA NA "soybean" "N" "T001" "小区产量(kg)" 0 "T001-NA"
3 "含水量(%)" "HanShuiLiang" NA 2 NA NA "soybean" "N" "T002" "含水量(%)" 0 "T002-NA"
4 "亩产(kg)" "MuChan" NA 3 NA NA "soybean" "N" "T003" "亩产(kg)" 0 "T003-NA"
5 "播种期" "BoZhongQi" NA 4 NA NA "soybean" "D" "T004" "播种期" 0 "T004-NA"
6 "出苗期" "ChuMiaoQi" NA 5 NA NA "soybean" "D" "T005" "出苗期" 0 "T005-NA"
7 "出苗良否" "ChuMiaoLiangFou" "1-良" 6 NA "1-Liang_0-Fou" "soybean" "C" "T006" "出苗良否" 0 "T006-1-"
7 "出苗良否" "ChuMiaoLiangFou" "0-否" 6 NA "1-Liang_0-Fou" "soybean" "C" "T006" "出苗良否" 0 "T006-0-"
8 "苗期田间评价" "MiaoQiTianJianPingJia" "2-优" 7 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T007" "苗期田间评价" 0 "T007-2-"
8 "苗期田间评价" "MiaoQiTianJianPingJia" "0-中" 7 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T007" "苗期田间评价" 0 "T007-0-"
8 "苗期田间评价" "MiaoQiTianJianPingJia" "-1-差" 7 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T007" "苗期田间评价" 0 "T007--1-"
9 "开花期" "KaiHuaQi" NA 8 NA NA "soybean" "D" "T008" "开花期" 0 "T008-NA"
10 "花色" "HuaSe" "1-白" 9 NA "1-Bai_2-Zi_99-FenLi" "soybean" "C" "T009" "花色" 0 "T009-1-"
10 "花色" "HuaSe" "2-紫" 9 NA "1-Bai_2-Zi_99-FenLi" "soybean" "C" "T009" "花色" 0 "T009-2-"
10 "花色" "HuaSe" "99-分离" 9 NA "1-Bai_2-Zi_99-FenLi" "soybean" "C" "T009" "花色" 0 "T009-99-"
11 "花期田间评价" "HuaQiTianJianPingJia" "2-优" 10 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T010" "花期田间评价" 0 "T010-2-"
11 "花期田间评价" "HuaQiTianJianPingJia" "0-中" 10 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T010" "花期田间评价" 0 "T010-0-"
11 "花期田间评价" "HuaQiTianJianPingJia" "-1-差" 10 NA "2-You_0-Zhong_-1-Cha" "soybean" "C" "T010" "花期田间评价" 0 "T010--1-"
12 "叶形" "YeXing" "1-披针" 11 NA "1-PiZhen_2-LuanYuan_3-TuoYuan_99-FenLi" "soybean" "C" "T011" "叶形" 0 "T011-1-"
12 "叶形" "YeXing" "2-卵圆" 11 NA "1-PiZhen_2-LuanYuan_3-TuoYuan_99-FenLi" "soybean" "C" "T011" "叶形" 0 "T011-2-"
12 "叶形" "YeXing" "3-椭圆" 11 NA "1-PiZhen_2-LuanYuan_3-TuoYuan_99-FenLi" "soybean" "C" "T011" "叶形" 0 "T011-3-"
12 "叶形" "YeXing" "99-分离" 11 NA "1-PiZhen_2-LuanYuan_3-TuoYuan_99-FenLi" "soybean" "C" "T011" "叶形" 0 "T011-99-"
