"ID" "name_C" "name_lib" "level_C" "order" "name_E" "species" "field_type" "name_code" "name_baiaoyun" "class_standard"
1 "小区实收面积(m2)" "XiaoQuShiShouMianJi" NA 0 NA "soybean" "N" "T000" "小区实收面积(m2)" 301
2 "小区产量(kg)" "XiaoQuChanLiang" NA 1 NA "soybean" "N" "T001" "小区产量(kg)" 303
3 "含水量(%)" "HanShuiLiang" NA 2 NA "soybean" "N" "T002" "含水量(%)" 0
4 "亩产(kg)" "MuChan" NA 3 NA "soybean" "N" "T003" "亩产(kg)" 304
5 "播种期" "BoZhongQi" NA 4 NA "soybean" "D" "T004" "播种期" 101
6 "出苗期" "ChuMiaoQi" NA 5 NA "soybean" "D" "T005" "出苗期" 102
7 "出苗良否" "ChuMiaoLiangFou" "1-良_0-否" 6 NA "soybean" "C" "T006" "出苗良否" 0
8 "苗期田间评价" "MiaoQiTianJianPingJia" "2-优_0-中_-1-差" 7 NA "soybean" "C" "T007" "苗期田间评价" 0
9 "开花期" "KaiHuaQi" NA 8 NA "soybean" "D" "T008" "开花期" 103
10 "花色" "HuaSe" "1-白_2-紫_99-分离" 9 NA "soybean" "C" "T009" "花色" 108
11 "花期田间评价" "HuaQiTianJianPingJia" "2-优_0-中_-1-差" 10 NA "soybean" "C" "T010" "花期田间评价" 0
12 "叶形" "YeXing" "1-披针_2-卵圆_3-椭圆_99-分离" 11 NA "soybean" "C" "T011" "叶形" 107
13 "茸毛色" "RongMaoSe" "1-灰_2-棕_99-分离" 12 NA "soybean" "C" "T012" "茸毛色" 109
14 "生长习性" "ShengZhangXiXing" "1-直立_3-半直立_5-半蔓生_7-蔓生_99-分离" 13 NA "soybean" "C" "T013" "生长习性" 0
15 "结荚习性" "JieJiaXiXing" "3-无限_5-亚有限_7-有限_99-分离" 14 NA "soybean" "C" "T014" "结荚习性" 110
16 "倒伏性" "DaoFuXing" "1-不倒_3-轻倒_5-中倒_7-重倒_9-严重倒_99-分离" 15 NA "soybean" "C" "T015" "倒伏性" 113
17 "早衰性" "ZaoShuaiXing" "0-否_1-是_99-分离" 16 NA "soybean" "C" "T016" "早衰性" 0
18 "株型" "ZhuXing" "3-收敛型_5-半开张_7-开张_99-分离" 17 NA "soybean" "C" "T017" "株型" 0
19 "落叶性" "LuoYeXing" "1-不落_2-半落_3-落_99-分离" 18 NA "soybean" "C" "T018" "落叶性" 112
20 "裂荚性" "LieJiaXing" "3-不裂_5-轻裂0-9_7-中9-25_9-易裂>25_99-分离" 19 NA "soybean" "C" "T019" "裂荚性" 111
21 "成熟期" "ChengShuQi" NA 20 NA "soybean" "D" "T020" "成熟期" 104
22 "活秆成熟" "HuoGanChengShu" "0-否_1-是_99-分离" 21 NA "soybean" "C" "T021" "活秆成熟" 0
23 "成熟期田间评价" "ChengShuQiTianJianPingJia" "2-优_0-中_-1-差" 22 NA "soybean" "C" "T022" "成熟期田间评价" 0
24 "收获期" "ShouHuoQi" NA 23 NA "soybean" "D" "T023" "收获期" 105
25 "小区收获株数" "XiaoQuShouHuoZhuShu" "0_1000" 24 NA "soybean" "N" "T024" "小区收获株数" 0
26 "生育期(天)" "ShengYuQi" "30_150" 25 NA "soybean" "N" "T025" "生育期(天)" 106
27 "田间备注" "TianJianBeiZhu" NA 26 NA "soybean" "any" "T026" "田间备注" 115
28 "花叶病毒病" "HuaYeBingDuBing" "0-免疫_1-高抗_3-抗_7-感_9-高感_99-分离" 27 NA "soybean" "C" "T027" "花叶病毒病" 114
29 "拟茎点种腐病" "NiJingDianZhongFuBing" "0-免疫_1-高抗_3-抗_7-感_9-高感_99-分离" 28 NA "soybean" "C" "T028" "拟茎点种腐病" 0
30 "霜霉病" "ShuangMeiBing" "0-免疫_1-高抗_3-抗_5-中抗_7-感_9-高感_99-分离" 29 NA "soybean" "C" "T029" "霜霉病" 0
31 "灰斑病" "HuiBanBing" "1-高抗_3-抗_5-中抗_7-感_9-高感_99-分离" 30 NA "soybean" "C" "T030" "灰斑病" 0
32 "细菌性斑点病" "XiJunXingBanDianBing" "1-高抗_3-抗_5-中抗_7-感_9-高感_99-分离" 31 NA "soybean" "C" "T031" "细菌性斑点病" 0
33 "锈病" "XiuBing" "1-高抗_3-抗_5-中抗_7-感_9-高感_99-分离" 32 NA "soybean" "C" "T032" "锈病" 0
34 "根腐病" "GenFuBing" "3-抗_5-中抗_7-感_99-分离" 33 NA "soybean" "C" "T033" "根腐病" 0
35 "孢囊线虫病" "BaoNangXianChongBing" "1-高抗_3-抗_5-中抗_7-感_9-高感_99-分离" 34 NA "soybean" "C" "T034" "孢囊线虫病" 0
36 "其他病害" "QiTaBingHai" NA 35 NA "soybean" "any" "T035" "其他病害" 0
37 "豆秆黑潜蝇" "DouGanHeiQianYing" "1-高抗_3-抗_5-中抗_7-感_9-高感_99-分离" 36 NA "soybean" "C" "T036" "豆秆黑潜蝇" 0
38 "豆荚螟" "DouJiaMing" "1-高抗_3-抗_5-中抗_7-感_9-高感_99-分离" 37 NA "soybean" "C" "T037" "豆荚螟" 0
